Mfg,Model,Model_Year,MPG,KMPL,Weight,Cylinders,Horsepower,Acceleration,Displacement
ford,ford country squire (sw)            ,71,13,5.525,4746,8,170,12,400
pontiac,pontiac safari (sw)                 ,71,13,5.525,5140,8,175,12,400
chevrolet,chevrolet impala                    ,72,13,5.525,4274,8,165,12,350
buick,buick lesabre custom                ,72,13,5.525,4502,8,155,13.5,350
chrysler,chrysler newport royal              ,72,13,5.525,4422,8,190,12.5,400
chevrolet,chevrolet chevelle concours (sw)    ,72,13,5.525,4098,8,130,14,307
ford,ford gran torino (sw)               ,72,13,5.525,4294,8,140,16,302
buick,buick century 350                   ,73,13,5.525,4100,8,175,13,350
chevrolet,chevrolet malibu                    ,73,13,5.525,3988,8,145,13,350
chevrolet,chevrolet caprice classic           ,73,13,5.525,4464,8,150,12,400
ford,ford ltd                            ,73,13,5.525,4363,8,158,13,351
chrysler,chrysler new yorker brougham        ,73,13,5.525,4735,8,215,11,440
amc,amc ambassador brougham             ,73,13,5.525,3821,8,175,11,360
plymouth,plymouth custom suburb              ,73,13,5.525,4654,8,170,13,360
buick,buick century luxus (sw)            ,74,13,5.525,4699,8,150,14.5,350
ford,ford mustang ii                     ,75,13,5.525,3169,8,129,12,302
plymouth,plymouth volare premier v8          ,76,13,5.525,3940,8,150,13.2,318
chevrolet,chevrolet c10                       ,76,13,5.525,4055,8,145,12,350
ford,ford f108                           ,76,13,5.525,3870,8,130,15,302
dodge,dodge d100                          ,76,13,5.525,3755,8,150,14,318
dodge,dodge monaco (sw)                   ,71,12,5.1,4955,8,180,11.5,383
oldsmobile,oldsmobile delta 88 royale          ,72,12,5.1,4456,8,160,13.5,350
mercury,mercury marquis brougham            ,73,12,5.1,4952,8,198,11.5,429
buick,buick electra 225 custom            ,73,12,5.1,4951,8,225,11,455
ford,ford country                        ,73,12,5.1,4906,8,167,12.5,400
oldsmobile,oldsmobile vista cruiser            ,73,12,5.1,4499,8,180,12.5,350
dodge,dodge d200                          ,70,11,4.675,4382,8,210,13.5,318
mercury,mercury marquis                     ,72,11,4.675,4633,8,208,11,429
chevrolet,chevrolet impala                    ,73,11,4.675,4997,8,150,14,400
oldsmobile,oldsmobile omega                    ,73,11,4.675,3664,8,180,11,350
ford,ford f250                           ,70,10,4.25,4615,8,215,14,360
chevrolet,chevrolet c20                       ,70,10,4.25,4376,8,200,15,307
ih,ih 1200d                            ,70,9,3.825,4732,8,193,18.5,304
